28395 28095 37929 79517 102277
3143000 0 0 0 0 3
describ 2 2 6 17 2
viermetz 0 0 2 0 0
tone 2 2 1 0 1
princevil 0 0 0 5 1
115000 2 0 0 1 3
14750 0 0 3 0 0
iowa 0 8 1 0 3
400000 5 5 1 7 8
scrambl 0 1 2 0 1
mexico 16 5 1 3 2
ltpmsi 0 0 0 2 0
feet 20 1 0 6 3
septdec 0 2 0 0 0
june 15 32 17 32 107
discharg 1 3 0 1 0
leaseway 0 0 0 1 2
ltmck 0 0 0 2 0
rebuf 0 1 0 4 0
nonmanufactur 0 0 0 0 4
3459 0 0 2 0 0
ltalgoma 0 0 0 1 1
basket 0 1 12 0 0
divis 3 3 6 91 39
scangraph 0 0 0 2 0
170866 0 0 0 0 2
ringgit 0 0 1 1 5
knutson 0 0 0 0 2
photron 0 0 0 0 2
salant 0 0 0 0 3
2835000 0 0 0 0 3
chicagobas 0 1 0 2 1
982 0 0 0 1 2
rockwel 0 0 0 1 1
sideway 0 0 2 0 0
phone 0 1 0 2 2
helmut 0 0 2 0 2
478 0 1 1 1 6
ltppg 0 0 0 1 1
iraq 27 5 1 0 1
ferrosilicon 0 0 0 2 0
aggressor 2 0 0 0 0
computerbas 0 0 0 2 1
ai 0 0 0 2 0
edmontonswann 2 0 0 0 0
3434 2 0 0 1 1
ltcthl 0 0 0 1 1
besid 2 1 1 4 1
diaz 0 0 0 3 0
eishiro 0 0 2 0 0
smithson 0 0 0 2 0
buildup 0 0 1 2 0
puerto 1 0 0 2 2
ottawa 0 4 0 3 0
alex 0 0 0 3 2
sept 0 1 1 4 9
ergenc 2 0 0 0 0
8028 1 0 0 0 1
greater 6 11 26 12 15
egypt 5 13 3 0 0
endjanuari 1 0 0 1 3
polit 10 7 23 10 4
tab 1 0 0 2 1
incomplet 0 1 0 2 0
3479 0 0 1 1 0
371000 0 0 0 0 2
5693 0 0 0 0 2
seller 2 4 4 3 0
criticis 1 1 3 1 0
intend 10 10 15 66 22
1946 0 0 0 1 1
aim 9 10 27 25 15
630 0 3 0 5 4
ampl 1 3 0 0 2
tycoon 0 0 0 2 0
time 41 47 74 120 65
ltthe 0 0 0 7 1
1115 0 0 0 0 2
unknown 0 12 1 0 2
alfalfa 0 2 0 0 0
nova 2 0 0 6 2
1581 1 0 0 0 1
14p 0 0 0 0 2
va 0 0 0 6 0
427000 0 0 0 0 2
mf 0 0 0 0 3
cede 0 0 1 3 0
grow 14 23 27 18 19
underperform 0 0 0 0 6
irwin 0 0 0 6 0
onmarket 0 0 0 2 0
seem 3 5 26 8 1
miguel 0 2 0 6 0
918 1 0 0 1 0
2246 0 0 0 0 2
04 4 0 0 1 5
1048000 0 0 0 0 2
fight 2 4 0 9 1
1614 0 0 0 0 2
away 4 4 10 6 5
offshoot 2 0 0 2 1
satellit 0 0 0 4 3
display 0 0 1 4 0
user 3 3 0 4 1
membership 2 4 4 0 0
soro 0 0 0 4 0
feeder 0 0 0 2 0
travel 2 4 4 9 4
upturn 2 0 3 0 3
broker 0 2 17 13 8
4346000 0 0 0 0 3
drought 0 17 0 0 0
adjac 0 1 0 1 1
dispens 0 0 1 0 1
merchandis 0 1 1 4 6
1625 0 0 0 1 1
francais 5 0 0 5 3
genova 0 0 0 2 1
g5 0 0 9 0 0
573000 0 0 0 0 3
embargo 3 1 0 0 0
1100 1 0 2 4 3
ps 0 0 2 2 1
1615 1 2 0 0 3
laboratori 0 0 0 6 25
5300000 0 0 0 1 2
ceuta 0 2 0 0 0
ur 0 0 0 0 2
6320 0 0 0 0 3
arvin 0 0 0 0 2
manag 16 19 28 221 88
ltsho 0 0 0 0 2
apollo 0 0 0 2 0
51 1 3 12 43 62
mti 0 0 3 0 0
ccr 0 0 0 0 2
payrol 1 0 3 1 0
almost 4 13 15 7 18
dwindl 1 0 1 0 0
function 2 2 2 3 2
grangemouth 4 0 0 0 0
affair 2 2 11 3 3
67967 0 0 0 0 2
1004 0 0 0 0 4
harbour 1 1 0 2 1
bramalea 0 0 0 3 0
aidsrel 0 0 0 1 2
monkey 0 0 0 1 1
800000 2 6 0 3 14
outflow 0 0 17 0 0
local 6 9 22 15 13
chesapeak 0 0 0 1 1
tampa 0 0 0 5 0
ocean 6 3 0 1 2
march 58 72 79 203 447
landslid 3 0 0 0 0
audit 1 0 0 1 11
wedd 0 0 1 1 1
joseph 0 0 0 6 3
outspoken 0 0 3 0 0
1425 0 0 0 2 0
expert 1 1 3 4 0
merit 0 1 0 4 0
went 6 3 2 3 21
bulk 3 13 3 3 5
russ 0 0 0 0 2
steak 0 0 0 1 2
ninth 0 0 0 2 0
defenc 12 1 1 9 4
366000 0 0 0 0 2
nc 0 1 0 4 3
unwind 0 0 2 0 1
4447000 0 0 0 0 2
amend 2 9 0 22 9
3433000 0 0 0 0 2
ltgpu 0 0 0 0 3
903 0 0 0 0 2
lasmo 1 0 0 0 1
frieght 0 0 0 2 0
181 0 0 3 1 17
fortnightli 0 0 2 0 0
contributor 0 0 0 0 4
3491030 0 0 0 2 0
2530 0 0 1 0 1
evolv 0 1 0 1 1
citi 2 9 4 41 14
louvr 0 0 2 0 0
theme 0 0 1 2 0
bnl 0 0 0 1 1
belt 1 8 0 0 0
hinder 2 0 1 1 1
obstacl 0 3 3 3 0
caledonian 0 0 0 1 1
864 0 0 0 0 2
hondura 0 5 0 0 0
otherwis 3 4 5 4 2
lower 34 48 50 29 124
127 1 3 0 1 22
duti 0 10 0 10 4
229000 0 0 0 0 3
record 8 27 44 33 736
microwav 0 0 0 4 3
asamera 0 0 0 0 2
outsid 13 8 9 20 11
194 1 1 0 1 17
polish 0 2 0 0 0
pentagon 2 0 0 2 0
pig 0 2 0 0 0
970 0 0 0 0 3
costa 0 1 1 2 0
undertak 1 2 6 5 0
ltgami 0 0 0 1 1
unilev 0 0 0 1 6
05 1 0 5 0 3
1613 0 2 0 0 0
fairfield 0 0 0 2 1
nissan 0 0 0 1 1
transfer 6 2 4 33 11
278 1 1 0 1 14
ltasc 0 0 0 0 2
639 0 0 0 0 4
cours 7 5 7 15 3
ltmr 0 0 0 2 2
1118 0 1 0 0 2
51187000 0 0 0 0 2
600971 0 0 0 0 2
ltpclb 0 0 0 1 1
retir 1 4 0 12 22
lift 18 5 7 12 8
persian 7 0 0 0 0
cushion 1 0 4 0 0
ltmpr 0 0 0 0 2
strikebound 2 0 0 0 0
358000 0 0 0 0 4
counterparti 0 0 4 0 0
870 0 1 0 0 6
assign 5 0 3 1 1
atmospher 0 1 1 1 0
2184 0 0 0 1 1
kuwaiti 13 0 2 0 0
2448000 0 0 0 0 2
oscar 0 0 0 2 0
sheet 0 0 3 8 26
amarillo 0 2 0 0 0
ltscf 0 0 0 2 0
snow 0 10 1 0 1
estaterel 0 0 0 1 1
midstat 0 1 0 1 0
9836 0 0 0 0 2
1579000 0 0 0 0 2
jay 1 0 0 2 0
captur 0 2 1 0 2
116000 0 1 0 1 0
2200000 0 0 0 1 4
foreign 61 19 135 50 48
durabl 0 0 3 0 0
river 11 14 0 6 4
1768000 0 0 0 0 2
player 0 0 0 2 3
floor 2 10 7 1 0
nonbank 0 0 5 2 1
ltjmi 0 0 0 0 2
inflammatori 0 0 0 2 0
grammrudman 0 2 0 0 0
214000 0 0 0 0 3
opposit 7 4 11 12 1
sound 2 2 2 7 2
inroad 0 2 0 0 1
turnabout 0 0 2 1 0
komatsu 0 0 0 0 2
tricentrol 1 0 0 0 1
bostonbas 0 0 0 2 0
contrari 1 0 1 5 0
hora 0 0 2 0 0
express 4 5 5 53 9
senior 12 13 31 44 10
reposit 0 0 0 1 1
note 17 24 67 81 951
780 0 1 0 0 2
101316 0 0 6 0 0
hernandez 10 0 0 0 0
ltiv 0 0 0 11 0
enough 7 15 25 12 9
309000 0 2 0 0 4
ophthalm 0 0 0 0 2
67000 0 1 0 1 1
corport 0 1 0 0 1
509 0 0 0 2 5
ltleix 0 0 0 0 2
ltmhc 0 0 0 3 2
408000 0 1 0 0 2
unaffect 1 1 1 0 0
405 1 6 0 1 11
27 15 9 11 52 127
445 0 3 1 0 9
canadianl 3 0 0 0 0
lowranc 0 0 0 0 2
659 1 0 0 0 6
340783 0 0 0 2 0
flag 4 2 2 3 1
2566000 0 0 0 0 2
overcom 2 0 0 1 1
repal 0 0 0 0 2
aturo 2 0 0 0 0
tv 0 0 0 10 2
understood 4 1 3 0 0
9767000 0 0 0 0 2
8367000 0 0 0 0 2
ltssmc 0 0 0 0 2
other 7 4 12 18 8
regul 8 5 13 20 10
publicli 2 0 0 15 1
ltab 0 0 0 4 2
browningferri 0 0 0 0 2
tripoli 2 0 0 0 0
4638000 0 0 0 0 2
non 0 1 0 1 2
3324000 0 0 0 0 2
ltpant 0 0 0 3 0
ray 0 0 2 0 2
ltolsn 0 0 0 1 2
865000 0 0 0 0 3
harsco 0 0 0 0 2
markedli 0 4 0 0 0
threeway 0 0 0 3 0
334 0 2 1 3 8
panamanian 0 1 0 2 0
overwhelm 1 0 1 1 0
1032000 0 0 0 0 2
ringsid 0 0 0 2 0
2323000 0 0 0 0 2
1596000 0 0 0 0 2
leahi 0 4 0 0 0
esso 4 0 0 2 2
fluid 0 0 0 2 0
absolut 1 1 3 2 4
industritillbehor 0 0 0 2 0
person 4 4 6 25 8
saturday 3 2 9 1 0
485 0 1 1 0 6
top 11 5 15 22 10
examin 4 4 1 10 2
249000 0 0 0 0 2
uphold 2 3 0 4 0
barter 1 0 0 0 2
blackburn 0 0 0 1 1
7893 0 0 0 0 2
ltgnb 0 0 0 3 0
fruit 1 0 2 1 3
2418 0 0 0 1 1
debtor 2 0 1 2 3
orangeco 0 0 0 2 0
68 4 4 0 5 36
takeup 0 0 19 0 0
fluorocarbon 0 0 0 0 2
ltfbc 0 0 0 8 0
240 0 4 2 11 12
rel 7 6 20 6 11
coupon 1 0 1 1 0
356000 0 1 0 0 1
198788 3 16 15 2 7
jone 0 0 0 4 2
reassembl 0 0 2 0 0
8536000 0 0 0 0 2
riowa 0 2 0 0 0
798 0 0 0 1 1
greenmail 0 0 0 7 0
movi 0 0 0 2 0
ltgi 0 0 0 21 3
frank 4 0 0 3 3
sharpli 11 11 16 6 32
opportunist 0 0 0 2 0
686 0 0 0 0 2
1178 0 0 0 0 2
taylor 0 0 0 0 3
corrient 0 3 0 0 0
ltcrix 0 0 0 0 2
onequart 1 0 0 1 0
mcrae 0 0 0 0 2
ltwkr 0 0 0 1 2
hostil 2 0 0 26 4
haruo 0 0 2 0 0
cereal 0 37 0 2 1
biomet 0 0 0 0 2
headlin 1 0 0 0 1
newest 0 0 1 1 1
776000 0 0 0 0 2
patricio 2 0 0 0 0
803085 0 0 0 0 2
consumpt 25 12 9 0 1
2610000 0 0 0 0 2
ltitel 0 0 0 3 1
lynch 0 1 4 18 2
refractori 0 0 0 1 1
372000 0 0 0 0 2
american 31 13 18 112 95
gap 4 1 3 0 0
store 0 15 0 41 73
broaden 1 2 0 5 3
716000 0 0 0 0 3
lttlam 0 0 0 1 1
appar 7 3 12 11 1
appropri 6 8 22 16 4
9000 0 2 0 0 4
530 1 2 0 6 5
dixon 0 0 0 26 2
wireless 0 0 2 11 1
metropolitan 0 0 0 8 2
beet 0 3 0 1 0
707 0 0 0 3 1
custom 10 13 51 33 24
2691 0 0 0 0 2
datagraphix 0 0 0 2 1
1476000 0 0 0 0 2
withdraw 5 0 1 30 6
17350 0 0 0 0 2
055 1 0 0 1 0
65p 0 0 0 0 5
czechoslovakia 0 2 0 0 0
ltcbkgf 0 0 1 3 2
1593000 0 0 0 0 2
bailli 0 0 0 0 2
761000 0 0 0 0 2
chartercrellin 0 0 0 1 1
inventori 10 11 2 6 27
1350000 0 0 0 0 2
1323 2 0 0 0 0
833 0 2 0 0 1
warrant 1 1 3 38 13
respecitv 0 0 0 0 2
chip 0 0 0 4 1
ltpri 1 0 0 0 1
computer 0 0 0 2 4
ltcrg 0 0 0 3 1
ltmer 0 0 0 6 0
automat 0 0 0 3 0
hail 3 1 0 0 0
mount 1 0 5 5 4
1155 0 0 0 0 3
hoar 0 0 2 1 2
693 1 0 2 0 1
break 6 6 8 4 10
511000 0 0 0 0 2
lean 0 0 0 3 1
offici 77 96 113 86 17
seibel 0 0 0 2 0
page 1 0 0 3 2
conabl 2 0 0 0 0
jakarta 7 1 0 0 0
192000 0 2 0 0 1
mortgag 0 0 2 14 27
itt 0 0 0 2 5
blockbust 0 0 0 2 1
pansoph 0 0 0 0 2
172 2 2 0 2 12
15member 0 0 0 2 0
furnac 0 0 0 1 1
novo 0 0 0 1 2
lighter 1 1 0 0 0
3971000 0 0 0 0 2
vernon 0 1 0 1 0
advoc 4 2 2 3 0
advantag 6 7 5 11 9
spokesperson 0 1 0 1 1
believ 26 14 36 67 30
tighter 1 3 2 0 0
ltgro 0 0 0 0 2
prais 1 0 1 0 0
985 1 0 1 3 3
ltcum 0 0 0 0 2
13nation 6 0 0 0 0
242p 0 0 0 0 2
declin 44 26 82 82 85
ltbe 0 0 0 0 2
623000 0 0 0 0 2
fran 0 2 0 0 0
1619000 0 0 0 0 4
unit 75 40 65 397 168
6116 0 0 7 0 0
1851 0 0 1 0 1
rtex 0 1 1 0 0
succe 1 0 0 5 0
lipper 0 0 0 2 0
272 0 0 0 1 10
1269 0 0 0 0 2
dealt 2 2 2 0 0
flagship 0 0 0 2 1
beauti 0 0 0 5 1
fear 6 9 20 6 4
ec 0 52 9 5 2
could 62 64 95 128 54
sierra 0 0 0 1 4
occas 0 1 2 3 0
1720 1 0 1 0 3
loom 0 0 1 2 0
513 0 0 0 1 4
cite 8 11 7 14 20
bearer 0 0 0 2 5
cabinet 5 7 1 2 0
leadership 1 2 2 2 0
prospectu 0 0 0 3 4
gholamreza 3 0 0 0 0
hfcs55 0 3 0 0 0
contig 0 0 0 2 0
duff 0 0 0 2 1
3545000 0 0 0 0 2
lost 15 4 6 13 29
atlanta 0 1 0 7 1
woodsid 0 0 0 0 2
smooth 0 1 4 0 0
2739 0 0 0 0 2
partner 8 0 15 71 21
3558000 0 0 0 0 2
book 1 8 6 19 31
india 2 6 0 1 0
720000 0 1 0 0 5
form 9 14 14 89 39
berisford 0 0 0 1 1
threeday 0 0 6 0 0
turgut 3 0 0 0 0
willing 4 3 4 5 1
safeti 1 3 0 4 2
433 0 0 1 0 2
ltci 0 0 0 0 2
dress 0 0 1 0 1
pois 2 1 1 0 2
proforma 0 0 1 1 2
sit 3 0 2 5 0
boutiqu 0 0 0 2 0
dissemin 0 0 0 5 0
truli 0 0 0 2 0
ltsan 0 0 0 8 0
calendar 2 9 3 2 13
titl 0 0 1 5 0
yamaha 0 0 0 0 2
veba 0 0 0 3 1
basss 0 0 0 2 0
result 32 38 35 101 367
1187000 0 0 0 0 2
9905528 0 0 0 0 2
realloc 1 1 0 0 1
gulf 43 18 6 6 13
ltshearson 0 0 0 3 0
ltgoldom 0 0 0 1 1
employ 4 6 11 25 6
lthnsnl 0 0 0 2 0
heimat 0 0 1 0 1
1224 0 0 0 0 2
691 0 0 0 0 8
howard 1 0 0 5 4
3265 0 0 0 0 3
profession 0 1 0 7 4
parliamentarian 2 0 0 0 0
firstquart 0 0 1 0 8
address 4 4 6 2 5
kenosha 0 0 0 3 0
mountain 1 0 0 8 2
349000 0 0 0 0 3
open 23 20 55 52 32
vacat 0 1 0 2 0
ted 0 0 0 2 1
question 8 10 27 21 8
bar 1 2 3 7 1
5973000 0 0 0 0 2
index 4 4 14 0 2
exploratori 10 0 0 3 0
royal 9 2 1 8 13
hemminghau 1 0 0 0 1
ross 0 0 0 1 1
lthkbhhk 0 0 0 1 3
ltdd 3 0 0 3 5
ltgeorg 0 0 0 1 1
second 26 10 15 39 98
cloth 0 0 0 0 2
deeper 2 0 0 0 0
1698 0 0 3 0 0
bill 6 33 100 12 4
1741 0 0 0 0 3
ltzen 0 0 0 0 2
299000 0 0 0 0 7
rjr 0 0 0 2 0
sceptic 0 1 10 0 0
resin 0 0 0 0 2
849 0 5 0 1 0
simmon 1 0 0 3 1
assn 0 0 0 1 1
sach 1 0 0 15 4
quadrupl 0 1 1 0 0
outer 3 0 0 0 0
534 1 1 2 1 3
1415000 0 0 0 0 2
park 0 0 1 9 6
brierley 0 0 0 6 0
ltkiena 0 0 0 0 2
ltasec 0 0 0 2 0
cash 16 24 14 272 135
14928 0 0 3 0 0
pickup 2 1 0 0 1
anacomp 0 0 0 2 1
528790 0 0 0 0 2
rydin 0 0 0 2 0
concret 2 0 1 1 3
atlantabas 0 0 0 2 0
5667000 0 0 0 0 3
cardiovascular 0 0 0 2 1
truer 0 0 2 0 0
lthnz 0 0 0 0 3
turk 1 0 0 1 0
compulsorili 0 0 0 2 0
193 1 2 1 2 12
realli 1 4 11 8 3
jiyun 0 1 1 0 0
bubbl 2 0 2 0 0
unwant 0 0 0 5 0
santana 2 0 0 1 0
aluminum 0 0 0 4 2
2875 0 1 0 0 2
formal 2 5 8 24 5
875 0 0 0 0 2
wen 0 3 0 0 0
milton 0 2 0 0 2
ltfin 0 0 0 3 0
bearish 2 1 9 1 0
1428000 0 0 0 0 2
magna 0 0 0 2 1
1826 0 1 0 0 3
substitut 1 4 4 2 3
1321 0 0 0 0 2
underground 3 0 0 2 0
ltzap 0 0 0 1 1
corner 0 1 1 0 1
christoph 0 1 0 2 1
306 1 1 0 3 8
1157883 0 0 0 0 2
delectricit 0 0 0 2 1
nudg 0 1 0 0 1
design 4 6 14 30 6
9450000 0 0 0 0 3
80000 2 7 0 0 1
ltech 0 0 0 2 2
citgo 5 0 0 0 0
cftc 2 4 0 0 0
unamort 0 0 0 0 2
9400000 0 0 0 2 2
nervou 0 2 4 2 1
1140000 0 0 0 0 2
contact 1 2 1 11 1
domingo 0 0 0 2 0
onemonth 0 0 6 0 0
599 1 0 1 0 2
rep 1 14 0 2 0
manni 0 0 0 0 2
18218 0 0 2 0 0
withdrawn 1 0 0 13 3
1408 0 0 0 0 2
billiondlr 0 0 0 2 1
reconfirm 2 0 0 0 0
colorado 2 1 0 9 5
5680000 0 0 0 1 1
toma 0 0 2 0 0
comparison 3 7 0 0 11
ltpbi 0 0 0 0 3
1252 0 0 0 0 3
parsow 0 0 0 2 0
countri 80 59 98 30 21
vogtl 0 0 0 0 2
346 0 0 1 0 6
degussa 0 0 0 2 0
accept 17 32 16 69 15
exemplifi 0 1 0 1 0
ltkb 0 0 0 1 2
goodman 0 0 0 1 1
onward 0 2 0 1 0
punish 0 0 2 0 0
2102000 0 0 0 0 2
2936 0 0 0 0 2
would 142 119 165 356 168
alexand 0 2 0 1 2
seed 0 7 0 5 1
destin 5 18 0 3 1
872 1 0 0 0 3
brazilian 7 4 3 3 9
repair 14 1 0 3 0
ltrsla 0 0 0 1 1
2853000 0 0 0 0 2
royex 0 0 0 2 0
wallenberg 0 0 0 2 0
372 0 1 1 0 8
312000 0 0 0 0 2
brisban 0 1 0 1 1
sword 0 0 0 2 0
6212 0 0 0 0 2
dime 0 0 0 0 3
ltsmsi 0 0 0 1 1
halt 14 5 8 8 5
ltequiticorp 0 0 0 2 0
439 3 0 0 1 4
resid 1 2 5 3 0
inop 1 0 0 1 0
nine 8 14 14 55 340
midsess 0 0 3 0 0
kill 7 2 1 0 0
affect 13 30 30 8 45
humanist 2 0 0 0 0
866 0 0 0 0 3
6500000 0 0 0 0 2
545000 0 0 0 0 2
1180 2 0 0 1 2
riyadh 2 0 1 0 0
ltrenapa 0 0 0 1 1
lack 6 6 3 3 3
imasco 0 0 0 0 2
templeton 0 0 0 1 1
ltlicia 0 0 0 0 2
asahi 1 0 0 1 0
qtlri 0 0 0 0 2
464000 0 0 0 0 2
ltcpl 0 0 0 1 4
shorten 0 1 1 1 1
09 1 1 1 0 2
ltship 0 0 0 1 2
393000 0 2 0 0 1
quarterend 0 0 1 0 1
211000 0 0 0 0 5
3954000 0 0 0 0 2
breakout 1 0 2 0 0
1214 0 0 0 1 4
show 31 31 50 18 61
ltvmlpz 0 0 0 0 2
sale 31 64 33 342 621
rilwanu 6 0 0 0 0
lthunt 0 0 0 2 0
known 6 9 4 22 6
agrio 3 0 0 0 0
turbul 2 0 8 0 1
nonoper 0 0 0 0 4
earl 0 0 1 0 1
welcom 4 1 8 3 3
1040 0 2 0 0 1
repeal 5 0 0 3 5
newslett 1 3 0 0 0
1242 1 0 0 0 1
340000 0 6 0 1 3
sudden 0 1 4 1 2
3700000 0 0 0 0 2
freefal 0 0 6 0 0
dlrsshr 0 0 0 7 2
421 0 0 0 0 7
hard 8 14 12 7 7
resist 10 4 9 10 0
473 0 0 0 0 7
482 1 1 0 0 5
612 1 1 2 1 2
argument 1 2 3 3 0
coars 0 11 0 0 0
fring 0 1 0 1 1
smallscal 0 1 2 0 0
541 0 0 0 0 5
roughli 0 2 2 3 4
2149 0 0 0 0 2
sunk 2 0 0 0 1
1249 0 0 0 0 2
intellig 2 1 0 3 5
sodbust 0 2 0 0 0
connect 4 2 2 30 21
thank 1 0 0 0 2
emphas 2 0 0 3 3
hang 0 0 1 3 1
vacant 0 0 0 2 1
tinto 0 0 0 2 0
ltdi 1 0 0 4 1
passag 0 0 3 0 1
59 0 3 0 12 27
solid 0 1 1 2 5
denshin 0 0 0 8 0
awar 3 1 5 11 2
ltqtow 0 0 0 0 2
liquor 0 0 0 1 1
ticket 0 0 0 2 1
ltwer 0 0 0 0 2
command 4 0 1 1 0
apart 2 0 3 4 5
mr 0 0 1 8 2
chinesemad 6 0 0 0 0
ltlen 0 0 0 2 1
equip 6 0 4 64 26
kangyo 0 0 2 0 0
almir 2 0 0 0 0
breakup 0 0 0 11 0
hourli 0 0 1 1 0
banquet 0 0 2 0 0
rein 0 0 5 0 1
g7 0 0 4 0 0
26 11 23 11 32 121
nza 0 0 1 0 1
bushel 1 40 0 0 0
ask 35 37 61 62 27
minimum 4 14 14 23 4
upland 0 1 0 3 0
sawmil 0 0 0 4 1
74000 0 0 0 1 3
4291543130 0 0 2 0 0
84400 0 0 0 1 1
2212 0 0 0 0 4
dividend 1 0 0 24 570
messag 0 2 1 0 1
look 18 17 24 22 27
digit 0 0 1 8 4
formerli 2 0 2 9 10
unfair 0 4 1 4 0
directli 3 4 8 14 4
hint 1 1 2 0 0
ct 26 8 2 30 2030
repo 0 0 2 0 0
sarasota 0 0 0 3 0
shad 0 0 0 2 0
1917 0 0 0 0 3
3001000 0 0 0 0 2
northcentr 1 1 0 0 0
1025 0 1 1 0 4
massiv 0 0 8 0 1
disqualifi 0 0 1 1 0
powder 1 0 2 1 0
unavail 1 2 3 7 7
compli 0 0 0 10 2
stahl 0 0 0 0 2
raini 0 2 0 0 0
offic 7 24 7 103 48
