359 428 535 1617 2848
ltntwk 0 0 0 0 1
peg 1 0 10 1 2
ensur 5 4 6 5 5
183000 0 0 0 0 2
fernando 11 0 0 1 0
paddi 0 6 0 0 0
domest 51 20 55 14 42
ltneptunia 0 0 0 2 0
3821000 0 0 0 0 1
8312000 0 0 0 0 1
3805000 0 0 0 0 1
caf 1 1 0 0 0
ltdri 0 0 0 0 1
biggest 10 2 2 8 9
meguerditch 0 0 1 0 0
ltabev 0 0 0 1 0
shun 0 1 0 0 1
tricil 0 0 0 1 1
thermoplast 0 0 0 1 0
dunbar 0 0 0 0 1
917 0 0 0 0 1
moni 0 0 0 1 1
1971 0 0 0 1 1
omalley 0 0 0 0 1
domeltdmp 0 0 0 1 0
kidston 0 0 0 0 1
4714000 0 0 0 0 1
1150000 0 0 0 0 2
difficultiesand 1 0 0 0 0
6502 0 0 0 0 1
232 1 1 0 1 12
terminalpl 0 0 0 1 0
jamesport 0 0 0 0 1
608800 0 0 0 0 1
645000 0 0 0 0 2
ltfeder 0 0 0 2 0
ltbmi 0 0 0 2 1
1503 0 0 1 0 0
mathew 0 0 0 4 0
overcapac 0 0 0 1 2
micros 0 0 0 0 1
differ 4 23 12 14 10
discuss 28 21 27 77 5
77804 0 0 0 0 1
chesebroughpond 0 0 0 1 2
disney 0 0 0 6 0
cha 0 0 0 2 0
4930000 0 0 0 0 1
100472 0 0 0 0 1
0635 1 0 0 0 0
108p 0 0 0 0 1
recamp 0 0 0 1 0
alnahayan 1 0 0 0 0
3565 0 0 0 1 0
ltrcbi 0 0 0 1 0
pointoil 1 0 0 0 0
broadrang 0 1 0 0 0
extent 5 4 5 8 6
13151182 0 0 0 0 1
ltsxi 0 0 0 1 0
otf 0 0 0 0 1
antonson 0 0 0 1 0
1494146 0 0 0 0 1
svizzera 0 0 0 0 2
ltcfin 0 0 0 0 1
ltesx 0 0 0 0 1
constantin 2 0 0 0 0
twinroom 0 0 1 0 0
88785 0 1 0 0 0
32500 0 1 0 0 0
273100 0 0 0 1 0
ag 1 0 7 34 58
1249000 0 0 0 0 2
expectd 0 0 0 0 1
ltdet 0 0 0 0 1
pittsburghbas 0 0 0 3 0
sptnd 0 0 0 0 1
pacificrain 0 0 0 1 0
port 24 22 0 4 2
2456616 0 0 0 0 1
aproveitamento 0 0 0 1 0
melcher 0 1 0 0 0
bullmoos 0 0 0 0 1
untap 0 0 0 0 1
5934000 0 0 0 0 1
157688 0 0 0 0 1
950000 0 1 0 0 7
envoy 1 0 1 0 0
rha 0 0 1 0 0
adopt 5 4 13 9 12
enthusiast 1 0 1 1 0
6606 0 1 0 0 0
4904000 0 0 0 0 1
porex 0 0 0 0 1
feasibl 3 0 0 4 1
3258 1 0 0 0 0
digitech 0 0 0 0 1
1652 0 0 0 0 1
763 0 0 0 0 3
133000 0 0 0 0 1
ltbkfr 0 0 0 0 1
creat 9 9 15 31 14
alsharq 1 0 0 0 0
ltpsix 0 0 0 1 0
fischer 0 0 0 1 0
ltsar 0 0 0 0 2
steven 0 1 0 2 7
otain 0 0 0 1 0
0875 0 1 0 0 0
powderhorn 0 0 0 1 0
ltpln 1 0 0 0 1
wildcat 2 0 0 0 0
735000 0 0 0 0 1
hydraul 1 0 0 0 2
cuba 0 1 0 0 0
4107 0 0 0 0 1
napl 0 0 0 1 0
laser 0 0 0 2 5
usa 4 3 1 3 6
ltssbk 0 0 0 3 0
brownafg 0 0 0 1 0
infanc 0 0 3 0 0
7060197 0 0 0 1 0
nikkeiren 0 0 2 0 0
slower 2 1 4 0 4
sectorcontinu 0 0 0 0 1
qtrli 0 0 0 0 41
480412 0 0 0 0 1
birmingham 0 0 0 1 0
recycl 0 0 0 3 1
1006000 0 0 0 0 1
crink 0 0 0 1 0
3242 0 0 0 0 1
1410184 0 0 0 1 0
romilli 0 0 0 0 1
120140 0 0 0 0 1
ltwashington 0 0 0 0 1
profitshar 0 0 0 0 1
35084 0 0 0 0 1
695000 0 1 0 0 0
ltnbcc 0 0 0 0 1
2033000 0 0 0 0 1
ltqedx 0 0 0 1 0
winkl 1 0 0 0 0
16th 0 0 0 1 0
4042 0 1 0 0 0
2243377 0 0 0 0 1
standard 6 3 9 19 15
againto 0 1 0 0 0
jm 0 0 0 1 0
ltnevi 0 0 0 1 0
petit 0 1 0 4 2
3509000 0 0 0 0 2
lasthalf 0 1 0 0 0
insuffici 1 4 0 1 0
345515 0 0 0 0 2
786000 0 0 0 0 1
goldkist 0 1 0 0 0
5116892 0 0 0 1 0
ltnippert 0 0 0 0 1
107370 0 0 0 0 1
rudolph 0 0 0 1 0
88843 0 0 0 0 1
10500 0 1 0 0 0
6979000 0 0 0 0 1
cetec 0 0 0 0 2
careercom 0 0 0 1 0
faraway 0 0 0 1 0
0125 0 1 0 0 0
ltbld 0 0 0 2 2
ltcip 0 0 0 0 1
spend 21 6 12 8 28
551 0 0 0 0 4
8619 0 0 0 0 1
596740 1 0 0 0 0
automobil 0 0 1 3 4
subscrib 0 0 0 12 6
statu 9 3 5 7 4
ltmetgf 0 0 0 1 1
8934 0 0 0 0 1
lo 0 2 0 27 3
577336 0 0 0 0 1
ltteloz 0 0 0 0 1
nanc 1 0 0 0 0
3000000 0 0 0 0 3
closelywatch 0 0 1 0 0
4172041929 0 0 1 0 0
ltonex 0 0 0 1 0
portugus 0 0 0 2 0
ltsigntech 0 0 0 0 1
555057 0 0 0 1 0
284945 0 0 0 0 1
summari 0 8 0 0 0
ltkrn 0 0 0 0 1
lteastov 0 0 0 1 0
callon 0 0 0 0 1
265p 0 0 0 1 0
30868 0 0 0 0 1
grenfel 0 0 0 2 4
512235 0 0 0 0 1
281p 0 0 0 0 1
appl 0 0 0 1 0
empresa 1 2 0 1 0
880000 0 0 0 2 1
3055p 0 0 0 1 1
elisra 0 0 0 0 1
1502 0 0 0 0 1
499000 0 0 0 0 2
422000 1 2 0 0 0
ltavana 0 0 0 0 1
shunjiro 0 0 0 1 0
biopharmaceut 0 0 0 1 0
noncommunist 1 0 0 0 0
paic 0 2 0 0 0
freighter 0 0 0 0 1
630000 0 1 0 0 0
map 1 0 0 1 0
demarku 0 0 0 1 0
558 1 1 0 1 3
minnesotabas 0 0 0 1 0
1881 0 0 0 1 2
1904 0 0 0 1 0
gasolin 35 1 0 2 1
675900 0 0 0 1 0
4000019 0 0 0 0 1
trydahl 0 0 0 1 0
496000 0 0 0 0 1
ltnbhame 0 0 0 1 0
ltphilip 0 0 0 2 0
csx 0 0 0 2 2
lthalbert 0 0 0 1 0
ltcanadian 2 0 0 9 7
1356321 0 0 0 0 1
winland 0 0 0 0 1
2884000 0 0 0 0 1
1691 0 0 0 0 3
157 2 1 0 0 27
ltfur 0 0 0 0 1
agre 38 17 71 281 25
ltalx 0 0 0 0 2
peasant 0 3 0 0 0
augar 0 0 0 0 1
sierracin 0 0 0 0 1
21000 0 0 0 0 2
clever 1 0 0 0 0
covert 1 0 0 0 1
dunham 1 0 0 0 0
837 1 0 0 0 1
ltrini 0 0 0 1 0
oeprat 0 0 0 0 1
550 0 0 7 4 6
pariba 1 0 0 2 2
berth 0 1 0 0 0
taikoo 0 0 0 0 2
rico 1 0 0 2 2
whole 10 7 9 7 7
gabones 1 0 0 0 0
ltblii 0 0 0 0 1
595000 0 0 0 0 1
136990 0 0 0 0 1
invest 35 8 36 253 185
crank 0 0 0 1 0
51pct 0 0 0 0 1
overpr 1 0 0 0 0
lthlme 0 0 0 0 2
lthnkgf 0 0 0 1 0
5009000 0 0 0 0 1
comalco 0 0 0 0 5
3050000 0 0 0 0 2
uvald 0 0 0 1 0
seputro 1 0 0 0 0
amazon 3 0 0 0 0
technologiesltcih 0 0 0 1 0
wealth 2 1 0 0 0
8932 0 0 0 0 2
midwestern 0 2 0 1 0
swap 0 0 11 5 1
levin 0 0 0 3 0
31011000 0 0 0 0 1
1867100 0 0 0 0 1
ltamo 0 0 0 12 4
peripher 0 0 0 2 2
reilli 0 0 0 0 1
onto 0 5 3 3 0
realiti 1 2 4 1 0
bonnevil 0 0 0 0 1
ltatomika 0 0 0 1 0
230949 0 0 0 0 1
jofre 1 0 0 0 0
54200 0 0 0 0 1
unfavour 0 0 3 0 0
6367 0 0 0 0 1
ltskip 0 0 0 0 1
dubai180918211586 1 0 0 0 0
567 1 0 0 1 3
ltbsh 0 0 0 0 1
9309394 0 0 0 4 0
ltcounti 0 0 0 3 0
21016 0 0 0 0 1
1205 1 0 0 1 1
aqazadeh 3 0 0 0 0
773400 0 0 0 0 1
9127000 0 0 0 0 1
scrap 1 1 3 0 1
deliver 2 0 2 0 1
4543000 0 0 0 0 1
ltvia 0 0 0 8 1
1164 1 0 0 0 0
747 0 0 0 0 3
5229542 0 0 0 0 2
dollartrad 0 0 1 0 0
flyr 0 0 0 0 5
2713912 0 0 0 0 1
2075260 0 0 0 0 1
1933107 0 0 0 0 1
ltsdc 0 0 0 0 2
clinton 1 1 0 2 0
irrig 0 9 0 0 0
ferrosan 0 0 0 0 1
6195527 0 0 0 0 1
overproduc 1 0 0 0 0
expier 0 0 0 1 0
contral 0 0 0 1 0
newlyacquir 0 0 0 1 1
bmd 0 0 0 0 1
resourc 24 3 3 72 71
9055 1 0 0 0 0
lttwt 0 0 0 1 2
oshman 0 0 0 0 2
163304 0 1 0 0 0
wenzhou 0 0 1 0 0
nicotin 0 0 0 1 0
14200 0 1 0 0 0
calif 1 0 0 27 2
1414369 0 0 0 0 1
38 8 4 4 22 65
badli 3 5 0 0 2
131630 0 0 0 0 1
abilen 0 0 0 1 0
3473 0 0 0 0 1
245 0 2 1 1 12
sarl 0 0 0 3 0
lthambro 0 0 0 1 0
kapok 0 0 0 1 2
energen 0 0 0 1 0
unquantifi 0 0 0 0 1
ltfcr 0 0 0 0 2
agriproduct 0 0 0 2 0
deserv 0 0 1 0 0
1860 1 0 0 0 1
mellili 1 0 0 0 0
101000 0 0 0 0 2
1103000 0 0 0 0 3
hour 4 4 10 12 1
subsoil 0 1 0 0 0
2722 0 0 0 1 0
conce 0 0 1 0 0
804 1 0 0 0 1
gkn 0 0 0 1 2
acquir 10 0 1 520 53
47499 0 0 0 0 1
evanston 0 0 0 1 0
200p 0 0 0 0 1
vulner 1 2 4 1 3
lttimex 0 0 0 1 0
ltnsant 0 0 0 1 0
ltncolt 0 0 0 0 1
4513 0 0 0 0 1
8801000 0 0 0 0 1
mee 1 0 0 0 0
laservideo 0 0 0 1 0
digniti 1 0 0 0 0
ltreedl 0 0 0 1 0
newlyestablish 1 0 0 0 0
3143000 0 0 0 0 3
cyclon 0 1 0 0 0
oakridg 0 0 0 0 1
describ 2 2 6 17 2
compton 0 0 0 1 0
porxpan 0 0 0 1 0
3164000 0 0 0 0 1
bluefield 0 0 0 0 1
viermetz 0 0 2 0 0
710000 0 0 0 1 0
3424729 0 0 0 1 0
tone 2 2 1 0 1
3546 0 0 0 0 1
minicontract 0 1 0 0 0
scaleback 0 1 0 0 0
605725 0 0 0 0 1
princevil 0 0 0 5 1
halefolu 1 0 0 0 0
115000 2 0 0 1 3
14750 0 0 3 0 0
ltpkoh 0 0 0 0 1
corporacion 1 0 0 0 0
iowa 0 8 1 0 3
gerrit 0 0 0 0 1
54686 0 0 0 0 1
400000 5 5 1 7 8
2603000 0 0 0 0 1
vanc 0 0 0 0 1
2135909 0 0 0 0 1
ltltr 0 0 0 1 0
scrambl 0 1 2 0 1
seismologist 1 0 0 0 0
548538 0 0 0 0 1
wilder 1 0 0 0 0
15900000 0 0 0 0 1
mexico 16 5 1 3 2
orbanco 0 0 0 1 0
freetrad 0 0 0 0 1
ltpmsi 0 0 0 2 0
1250014500 0 1 0 0 0
feet 20 1 0 6 3
septdec 0 2 0 0 0
june 15 32 17 32 107
andersson 0 0 0 1 0
11470 0 1 0 0 0
discharg 1 3 0 1 0
leaseway 0 0 0 1 2
ltmck 0 0 0 2 0
ltsfp 0 0 0 0 1
rebuf 0 1 0 4 0
ltgca 0 0 0 0 1
5134000 0 0 0 0 1
300meter 1 0 0 0 0
nonmanufactur 0 0 0 0 4
9342 0 1 0 0 0
8177000 0 0 0 0 1
regulari 0 0 0 0 1
9922000 0 0 0 0 1
3459 0 0 2 0 0
enfield 0 0 0 1 0
372427 0 0 0 0 1
ltcpsa 0 0 0 1 0
ltalgoma 0 0 0 1 1
3315834 0 0 0 0 1
42149 0 0 0 0 1
rinn 0 0 0 1 0
basket 0 1 12 0 0
divis 3 3 6 91 39
scangraph 0 0 0 2 0
drillship 0 0 0 0 1
170866 0 0 0 0 2
archipelago 0 1 0 0 0
ringgit 0 0 1 1 5
7709000 0 0 0 0 1
knutson 0 0 0 0 2
2611 0 0 0 0 1
photron 0 0 0 0 2
ltrhodic 0 0 0 1 0
salant 0 0 0 0 3
2835000 0 0 0 0 3
chicagobas 0 1 0 2 1
1090000 0 0 0 0 1
982 0 0 0 1 2
rockwel 0 0 0 1 1
biogen 0 0 0 1 0
sideway 0 0 2 0 0
communci 1 0 0 0 0
phone 0 1 0 2 2
helmut 0 0 2 0 2
186655 1 0 0 0 0
478 0 1 1 1 6
computeraid 0 0 0 0 1
grassgreen 0 0 0 0 1
1408813 0 0 0 0 1
3016000 0 0 0 0 1
ltppg 0 0 0 1 1
iraq 27 5 1 0 1
ferrosilicon 0 0 0 2 0
526000 0 0 0 0 1
aggressor 2 0 0 0 0
ltupc 0 0 0 0 1
computerbas 0 0 0 2 1
ai 0 0 0 2 0
edmontonswann 2 0 0 0 0
ltmouppa 0 0 0 1 0
3434 2 0 0 1 1
ltcthl 0 0 0 1 1
besid 2 1 1 4 1
sider194019181644 1 0 0 0 0
diaz 0 0 0 3 0
commeric 0 0 0 1 0
3390 0 0 1 0 0
quadrant 0 1 0 0 0
eishiro 0 0 2 0 0
ltiban 0 0 0 0 1
smithson 0 0 0 2 0
buildup 0 0 1 2 0
puerto 1 0 0 2 2
3271000 0 0 0 0 1
8641000 0 0 0 0 1
325unit 0 0 0 1 0
rhi 0 0 0 0 1
ottawa 0 4 0 3 0
ltstcll 0 0 0 0 1
armor 0 0 0 0 1
143p 0 0 0 0 1
samestor 0 0 0 0 1
alex 0 0 0 3 2
irsh 0 0 0 0 1
twofigur 0 0 0 0 1
ltsrg 0 0 0 1 0
sept 0 1 1 4 9
mohler 0 1 0 0 0
ergenc 2 0 0 0 0
carryfoward 0 0 0 0 1
8028 1 0 0 0 1
12006000 0 0 0 0 1
committeepass 0 1 0 0 0
192896 0 0 0 0 1
fbx 0 0 0 0 1
greater 6 11 26 12 15
egypt 5 13 3 0 0
pitmen 1 0 0 0 0
3454000 0 0 0 0 1
endjanuari 1 0 0 1 3
polit 10 7 23 10 4
tab 1 0 0 2 1
incomplet 0 1 0 2 0
6869 0 0 0 0 1
3479 0 0 1 1 0
371000 0 0 0 0 2
5693 0 0 0 0 2
292014 0 0 0 0 1
876000 0 0 0 0 1
seller 2 4 4 3 0
criticis 1 1 3 1 0
optiongr 0 0 0 0 1
intend 10 10 15 66 22
1946 0 0 0 1 1
aim 9 10 27 25 15
9443000 0 0 0 0 1
kroger 0 0 0 1 0
4420000 0 0 0 0 1
630 0 3 0 5 4
riunit 0 0 0 1 0
1559 0 0 0 0 1
lttoog 0 0 0 0 1
ampl 1 3 0 0 2
85576875 0 0 0 1 0
9163141 0 0 0 0 1
tycoon 0 0 0 2 0
5587000 0 0 0 0 1
time 41 47 74 120 65
ltthe 0 0 0 7 1
ltberkeley 1 0 0 0 0
furstenberg 0 0 0 1 0
ltmgcpv 0 0 0 0 1
1115 0 0 0 0 2
18335 0 1 0 0 0
warrington 0 0 0 1 0
4809 1 0 0 0 0
dlrsbarrel 1 0 0 0 0
deltau 0 0 0 0 1
datacheck 0 0 0 0 1
notedu 0 0 0 0 1
unknown 0 12 1 0 2
poundshort 0 0 1 0 0
alfalfa 0 2 0 0 0
nova 2 0 0 6 2
1001032 1 0 0 0 0
4469000 0 0 0 0 1
1581 1 0 0 0 1
14p 0 0 0 0 2
va 0 0 0 6 0
427000 0 0 0 0 2
mf 0 0 0 0 3
cede 0 0 1 3 0
2494 0 0 0 0 1
grow 14 23 27 18 19
underperform 0 0 0 0 6
277834 0 0 0 0 1
irwin 0 0 0 6 0
onmarket 0 0 0 2 0
seem 3 5 26 8 1
feb87 0 0 1 0 0
miguel 0 2 0 6 0
ltomco 0 0 0 0 1
4071000 0 0 0 0 1
4rth 0 0 0 0 1
withstand 0 0 1 0 0
transcapit 0 0 0 1 0
918 1 0 0 1 0
2246 0 0 0 0 2
04 4 0 0 1 5
tru 0 0 0 1 0
ltfalcf 0 0 0 1 0
4866000 0 0 0 0 1
astec 0 0 0 0 1
overtur 0 1 0 0 0
160p 0 0 0 0 1
gel 0 0 0 1 0
1048000 0 0 0 0 2
fight 2 4 0 9 1
2903 0 0 0 0 1
1614 0 0 0 0 2
5518000 0 0 0 0 1
3292733 0 0 0 0 1
5912 0 0 0 1 0
1793398 0 0 0 0 1
away 4 4 10 6 5
1083800 0 0 0 1 0
offshoot 2 0 0 2 1
satellit 0 0 0 4 3
display 0 0 1 4 0
243161 0 0 0 0 1
awek 0 1 0 0 0
92641 0 0 0 0 1
reducedusda 0 1 0 0 0
user 3 3 0 4 1
membership 2 4 4 0 0
soro 0 0 0 4 0
1629432 0 0 0 0 1
feeder 0 0 0 2 0
buckwheat 0 0 1 0 0
travel 2 4 4 9 4
amsol 0 1 0 0 0
11928871 0 0 0 0 1
9037596 0 0 0 0 1
upturn 2 0 3 0 3
gateway 0 0 0 1 0
broker 0 2 17 13 8
4346000 0 0 0 0 3
drought 0 17 0 0 0
adjac 0 1 0 1 1
lowerqu 0 1 0 0 0
pcri 0 0 0 1 0
dispens 0 0 1 0 1
merchandis 0 1 1 4 6
refaat 0 0 0 1 0
2664852 0 0 0 0 1
71116 0 0 1 0 0
1625 0 0 0 1 1
francais 5 0 0 5 3
genova 0 0 0 2 1
195202 0 0 0 0 1
skf 0 0 0 1 0
eightlock 0 1 0 0 0
g5 0 0 9 0 0
573000 0 0 0 0 3
539000 0 0 0 0 1
embargo 3 1 0 0 0
1100 1 0 2 4 3
10100000 0 0 0 0 1
3318 1 0 0 0 0
reeserv 0 0 0 0 1
ltshin 0 0 0 1 0
40519 0 0 0 0 1
milliyet 1 0 0 0 0
humphrey 0 0 0 1 0
ltintw 0 0 0 1 0
3125000 0 0 0 0 1
84203 0 0 0 0 1
ps 0 0 2 2 1
7336000 0 0 0 0 1
prelud 0 0 0 1 0
1615 1 2 0 0 3
laboratori 0 0 0 6 25
democratcontrol 0 0 1 0 0
5300000 0 0 0 1 2
ltum 0 0 0 1 0
ceuta 0 2 0 0 0
carrizo 0 0 0 0 1
3527000 0 0 0 0 1
colombo 0 1 0 0 0
6147 0 0 0 1 0
758770 0 1 0 0 0
ur 0 0 0 0 2
6320 0 0 0 0 3
3418000 0 0 0 0 1
spar 0 0 0 0 1
arvin 0 0 0 0 2
manag 16 19 28 221 88
destabilis 0 0 1 0 0
ltsho 0 0 0 0 2
ltscixf 0 0 0 0 1
kolbin 0 1 0 0 0
apollo 0 0 0 2 0
51 1 3 12 43 62
296000 0 0 0 0 1
subhi 1 0 0 0 0
mti 0 0 3 0 0
ltfn 0 0 0 1 0
angelica 0 0 0 0 1
loiu 0 1 0 0 0
ccr 0 0 0 0 2
275000 0 0 0 0 1
ltamrf 0 0 0 1 0
church 0 0 0 1 0
payrol 1 0 3 1 0
5914000 0 0 0 0 1
2403481 0 0 0 0 1
almost 4 13 15 7 18
637000 0 0 0 0 1
dwindl 1 0 1 0 0
80mln 0 1 0 0 0
hermetron 0 0 0 1 0
belden 0 0 0 0 1
function 2 2 2 3 2
shortest 0 0 0 0 1
grangemouth 4 0 0 0 0
2080 0 0 1 0 0
vicegovernor 0 1 0 0 0
affair 2 2 11 3 3
67967 0 0 0 0 2
6122378 0 0 0 0 1
grigori 0 1 0 0 0
1004 0 0 0 0 4
harbour 1 1 0 2 1
dubin 0 0 0 1 0
walther 0 0 0 0 1
navon 0 0 0 1 0
upwardli 1 0 0 0 0
bramalea 0 0 0 3 0
aidsrel 0 0 0 1 2
monkey 0 0 0 1 1
2283811 0 0 0 0 1
61504 0 0 0 0 1
strevig 1 0 0 0 0
800000 2 6 0 3 14
outflow 0 0 17 0 0
local 6 9 22 15 13
1375000 0 1 0 0 0
chu 0 1 0 0 0
ltgra 0 0 0 1 0
7485000 0 0 0 0 1
2957000 0 0 0 0 1
chesapeak 0 0 0 1 1
samurai 0 0 1 0 0
tampa 0 0 0 5 0
ocean 6 3 0 1 2
4306043275 0 0 1 0 0
march 58 72 79 203 447
staqrt 1 0 0 0 0
landslid 3 0 0 0 0
audit 1 0 0 1 11
52814 0 0 0 0 1
nzfp 0 0 0 1 0
ltimsto 0 0 0 0 1
wedd 0 0 1 1 1
joseph 0 0 0 6 3
291000 0 0 0 0 1
outspoken 0 0 3 0 0
1425 0 0 0 2 0
13week 0 0 0 0 1
detract 0 0 1 0 0
ltsbm 0 0 0 0 1
expert 1 1 3 4 0
merit 0 1 0 4 0
rooney 0 0 0 1 0
went 6 3 2 3 21
bulk 3 13 3 3 5
russ 0 0 0 0 2
ltvolt 0 0 0 0 1
emcf 0 0 1 0 0
resown 0 1 0 0 0
steak 0 0 0 1 2
woolco 0 0 0 0 1
ltrgl 0 0 0 1 0
blocker 0 0 0 0 1
ninth 0 0 0 2 0
defenc 12 1 1 9 4
2333 0 0 0 1 0
366000 0 0 0 0 2
nc 0 1 0 4 3
lawncar 0 0 0 1 0
unwind 0 0 2 0 1
4447000 0 0 0 0 2
amend 2 9 0 22 9
3433000 0 0 0 0 2
ltgpu 0 0 0 0 3
903 0 0 0 0 2
18800 0 1 0 0 0
933183 0 0 0 0 1
lasmo 1 0 0 0 1
3111317 0 0 0 0 1
frieght 0 0 0 2 0
208600 1 0 0 0 0
ltpfina 0 0 0 0 1
ltcypsa 0 0 0 0 1
181 0 0 3 1 17
vangarlem 0 1 0 0 0
fortnightli 0 0 2 0 0
237969 0 0 0 0 1
contributor 0 0 0 0 4
pickl 0 0 1 0 0
svenska 0 0 0 0 1
3491030 0 0 0 2 0
ltbyp 0 0 0 0 1
28689 0 0 0 1 0
2530 0 0 1 0 1
marktomarket 0 0 1 0 0
116793 0 0 0 1 0
grandmarai 1 0 0 0 0
evolv 0 1 0 1 1
400500 0 0 0 1 0
notebryn 0 0 0 0 1
3334 0 0 0 0 1
confidant 0 0 1 0 0
888000 0 0 0 0 1
citi 2 9 4 41 14
375200 0 0 0 1 0
louvr 0 0 2 0 0
offfer 0 0 0 1 0
ltrbd 0 0 0 1 0
theme 0 0 1 2 0
replant 0 1 0 0 0
6154000 0 0 0 0 1
niagara 0 0 0 0 1
bnl 0 0 0 1 1
biosearch 0 0 0 0 1
40654 1 0 0 0 0
ltschl 0 0 0 0 1
quickmatur 0 1 0 0 0
fluoroscan 0 0 0 0 1
4710000 0 0 0 0 1
belt 1 8 0 0 0
ltsua 0 0 0 0 1
hinder 2 0 1 1 1
obstacl 0 3 3 3 0
caledonian 0 0 0 1 1
4399000 0 0 0 0 1
whinney 0 0 0 0 1
redeliveri 0 1 0 0 0
4318000 0 0 0 0 1
864 0 0 0 0 2
1905774 0 0 0 0 1
211183 0 0 0 0 1
hondura 0 5 0 0 0
ltdahl 0 0 0 0 1
943938 0 0 0 0 1
1253 0 0 1 0 0
copmpani 0 0 0 1 0
otherwis 3 4 5 4 2
lteqt 0 0 0 0 1
associaiton 0 1 0 0 0
lower 34 48 50 29 124
1685000 0 0 0 0 1
127 1 3 0 1 22
ltpower 0 0 0 0 1
lynchltmer 0 0 0 1 0
duti 0 10 0 10 4
229000 0 0 0 0 3
ltporx 0 0 0 0 1
peltier 0 0 0 1 0
1815018700 0 0 1 0 0
record 8 27 44 33 736
microwav 0 0 0 4 3
maximilian 0 0 0 0 1
asamera 0 0 0 0 2
outsid 13 8 9 20 11
1444 0 0 0 0 1
194 1 1 0 1 17
dibona 1 0 0 0 0
charit 0 0 0 1 0
403945 0 0 0 0 1
polish 0 2 0 0 0
pentagon 2 0 0 2 0
pig 0 2 0 0 0
2129000 0 0 0 0 1
970 0 0 0 0 3
ivey 0 0 0 0 1
costa 0 1 1 2 0
undertak 1 2 6 5 0
4195000 0 0 0 0 1
ltgami 0 0 0 1 1
unilev 0 0 0 1 6
gansu 0 1 0 0 0
05 1 0 5 0 3
1613 0 2 0 0 0
ltnbct 0 0 0 0 1
3882235 0 0 0 0 1
cincinnatibas 0 0 0 1 0
ltnpr 0 0 0 0 1
fairfield 0 0 0 2 1
nissan 0 0 0 1 1
4566 0 0 0 0 1
transfer 6 2 4 33 11
ltsona 0 0 0 1 0
278 1 1 0 1 14
3984 0 0 0 0 1
ltasc 0 0 0 0 2
639 0 0 0 0 4
34306 0 0 0 0 1
23675000 0 0 0 0 1
timex 0 0 0 1 0
cours 7 5 7 15 3
lttlci 0 0 0 1 0
ltmr 0 0 0 2 2
